question,answer,context
Why Marketing should become agile?,increased advertising competition is a thing currently,"Removing complexity from the equation, efood Marketing team observe that digital channels provide low-cost, effective targeted ads compared to traditional offline marketing channels - a fact that adds another layer of difficulty; increased advertising competition. However, one problem that has emerged is a noisy digital environment for users who see multiple ads within the day. Agile methodologies can help marketers to stand-out from their competition by allowing them to complete iterations faster (audience tests, bidding tests, creative tests, etc.) and implement winning changes on the fly without a ton of permissions and signatures. As a test, try to identify how many digital ads you see each day and you will realize the level of competition that a business faces."
Why advertising competition increased?,Because digital advertising that is emerging is cheaper to traditional,"Digital advertising is a cheap promotion option compared to offline ads. If you compare the cost of a billboard ad with that of a Facebook ad, you will realize that they are not comparable at all. Even the smallest startup can utilize the power of mass advertising platforms and get the best results with the lowest cost."
Why Marketing should become Agile?,Speed is the ultimate trait of a team,"If there is one word that describes modern marketing, then that is speed. Due to technological changes, the marketing landscape is changing every day, and you need to be constantly aware of and adjust your techniques according to the latest best practices. Speed is one of the most critical elements of every team and company that wants to excel in a landscape that is full of complexity, competition, and heavy (or no) processes. Although speed and process are considered to be contradictory notions, this process is an attempt to create a “speed-friendly” framework tailored to marketing needs."
Provide an example of real time marketing,Oreo campaign in Super Bowl 2013,"Back in 2013, Oreo “broke” the marketing landscape and highlighted the necessity of real-time marketing for every business that wants to become and stay relevant to its audience. During the third quarter of that year’s Super Bowl (one of the most significant events in the US), a power outage caused a partial blackout for half an hour. Oreo responded quickly to this incident by creating the “Power Out? No problem” online advertisement about the blackout, which created great engagement, without the company having paid for a spot or sponsorship for the Super Bowl. This action not only requires agility but creativity as well, and it’s equally impressive in terms of how strategy and operational effectiveness can lead to great examples."
How you became agile?,"Our journey into the Agile and Scrum world started in 2015. Before that, efood Marketing team had no structured process.","Our journey into the Agile world started in 2015. Before that, efood Marketing team had no structured process. There were always glimpses of organizing and planning our tasks, but most of the decisions were based on analyses that efood Marketing team did on the spot and user feedback. efood Marketing team decided that efood Marketing team have to explore other ways of working in order to organize ourselves and orchestrate our projects and roadmaps better. efood Marketing team hired Yannis, a reputable Agile coach, to help us implement Scrum, which is a popular Agile working process. Yannis informed us that Scrum was designed to handle complex IT projects, and his concern was that it would be challenging to implement within a marketing team, but our small size (back then there were six of us) and our willingness for commitment, convinced him to proceed and start our collaboration."
How you implemented Scrum?,We decided to implement Scrum one step at a time,"We decided to implement Scrum one step at a time and reach 100% Scrum implementation within three months. The experiment worked, and efood Marketing team followed the Scrum framework for almost a year. As efood Marketing team reached the tipping point and started to scale both as a team and as a company, the first major problems emerged. "
Describe the initial problems you faced,Some of Scrum rituals were unproductive,"Some of the Scrum meetings and processes were unproductive, and the amount of time efood Marketing team consumed on our Agile “duties” increased exponentially but returned little value. So two years ago, efood Marketing team faced a dilemma: efood Marketing team would either keep the official type of Scrum but not follow it (since it was impossible to do so) or change it and adjust it to our own needs."
How did you solve the initial problems?,"Switch from Scrum to Scrum Nexus and eventually our own framework, Nero.","After all, the best-case scenario was that efood Marketing team would solve our problems successfully, while the worst case was that efood Marketing team would learn something new. efood Marketing team mapped all our current issues and potential future problems, and -along with Yannis’ help- efood Marketing team switched from Scrum to Scrum Nexus, which became the foundation of our own custom process. efood Marketing team divided our department into three teams so that efood Marketing team could better handle our tasks and that had worked for two years with outstanding results in terms of effectiveness."
Why you switched from Scrum Nexus to Nero?,"Due to major alignment issues between sub-teams, especially in handling dependencies.","But then, another major problem emerged. Due to our big scale, efood Marketing team faced major alignment issues between sub-teams, especially in handling dependencies. Many tasks were blocked due to different priorities between teams that led us to re-evaluate our process. So that was it, after four years of iterations, efood Marketing team came up with “Nero” our custom framework. The approach was not to reinvent the wheel but learn from our mistakes and our problems, borrow parts from popular Lean and Agile processes that could be applied to our day-to-day struggles and create a model that would fit our needs."
Did Nero worked for your team?,Team grow effectively,"- Our team grew a lot. efood Marketing team started as six people, and now efood Marketing team are more than 20. efood Marketing team are separated into two sub-teams that consist of performance marketers, event managers, copywriters, videographers, community managers, etc."
Did Nero worked for your team?,Marketing and business performance grew exponentially,"- Marketing and business performance grew exponentially. While efood Marketing team were iterating on our working process, efood Marketing team delivered business value and revenue, consistently hitting our targets with acceptable costs. When efood Marketing team started, efood Marketing team were among the top three online delivery marketplaces. Now, the competition has increased, but efood Marketing team are leading the market."
Did Nero worked for your team?,achieved a team happiness score of 80%,"- This year efood Marketing team achieved a team happiness score of 80% for the way efood Marketing team work, which means that our team truly likes the way efood Marketing team work."
Did Nero worked for your team?,process is considered as the “best practice” within the online delivery industry,- Our process is considered as the “best practice” within the online delivery industry across many countries.
Did Nero worked for your team?,"Turnover rate is more than four years,","- Turnover rate is more than four years, a healthy indicator for a relatively new company in a brand new industry (online food delivery industry is about six years old in our country)."
What should I consider before I try to implement an Agile framework?,need to believe in Agile before you start,"First, you, your team and your business need to believe in Agile before you start. You will realize soon enough that you need to apply some changes that are not easy, and if you are not 100% committed to it, you won’t be able to transform your current processes into better ones. There will be hard times, especially in the early days, since every new process needs time for adoption. You don’t have to be fully committed to Scrum or Kanban or any other Agile methodology. You need to stay committed to your willingness to change the way you are currently working and explore new ways that will help you achieve operational effectiveness. efood Marketing team liked the way efood Marketing team worked in the past. efood Marketing team were used to it. efood Marketing team could solve our problems even with a waterfall process, simply because this was the way efood Marketing team grew as professionals. But efood Marketing team believed that trying a new different way would help us become even better, and that is the right approach to embrace Agile."
What should I consider before I try to implement an Agile framework?,treat yourself and the whole team like a machine,"Secondly, you need to treat yourself and the whole team like a machine.Every problem or conflict that emerges is an excellent way to provide a hands-on solution to each specific problem and adjust your “machine” in a way that will better handle similar issues in the future. Don’t do random things and don’t just copy what other teams or companies are doing, only to have a method in place.Invest in your process, change it when change is mandatory, don’t do a ton of changes simultaneously, build metrics to measure its efficiency and encourage constant and honest feedback among your team members because they are the most vital part of your machine. And please, don’t invest in Agile because it’s a fancy term, become Agile because you deserve to work in a better way. Moreover, please note that Agile (like growth) is not a job description. You should not hire a person to implement an Agile framework. You can hire a consultant to guide you, but after all, it’s a team activity. Everyone should invest time and effort because everyone will be affected by the outcome."
What should I consider before I try to implement an Agile framework?,do not confuse process effectiveness with strategy,"Lastly, please, please do not confuse process effectiveness with strategy. Implementing the ideal working process will definitely help you build a better business, but it won’t solve all your problems. According to Peter Drucker, operational effectiveness is necessary but not sufficient, while the essence of strategy is choosing to perform activities differently than rivals do."
Should I hire an Agile coach?,"is a nice way to take your Agile transformation seriously, yes.","Hiring a coach is a nice way to take your Agile transformation seriously and make sure that you are willing to invest both money and time to implement it right. efood Marketing team collaborated with the founder of Agile Summit in Greece, Mr. Yannis Mavraganis, a passionate aficionado of Agile with plenty of coaching experience. This was a new experiment for him as well, because, as he says, efood Marketing team are the first non-IT team who approached him."
Why we need Agile coach?,Scrum framework is simple to explain but difficult to master,"The Scrum framework is simple to explain. Doing a six-hour workshop can help you cover all of its elements and understand how it works and identify the best way of implementation. However, as efood Marketing team said before, efood Marketing team didn’t just want to do Agile. efood Marketing team wished to shape an ‘Agile’ mentality that would optimize our workflow and transform us into a world-class marketing team. Having Yannis with us on regular activities was the key to our Agile adoption. Together efood Marketing team could identify what works best for us and what efood Marketing team should change to optimize our efficiency. An effective coach can “validate” the changes to ensure efood Marketing team were in the right direction, following the Agile principles and values and not doing a waterfall workflow camouflaged in Scrum ;). This is important because Scrum is based on empiricism and has some vague definitions that, without the help of an expert, form different opinions that can lead to conflicts across team members."
Why we need Agile coach?,coach should always promote consistency and discipline,"As every marketing team should do, efood Marketing team started with passion and positive vibes. However, our vibrant routine did not help us in being consistent. A good Agile coach should always encourage the team and keep consistency and discipline levels high. Consistency was our primary challenge, and the only way to defeat it was to form a specific habit (we’ll discuss that later on)."
Why we need Agile coach?,coach can provide in-depth domain knowledge and assure that you’re in the right direction,"To sum up, an efficient coach can provide in-depth domain knowledge and assure that you’re in the right direction. The authority will help decrease conflicts and increase unity across the team and orchestrate the whole implementation process, so that the team can have a smooth and successful adoption of an Agile working process. Just a tip here, avoid dogmatic coaches since they won’t be so flexible in other working frameworks except for the ones they already like, and since there is no popular successful implementation in Marketing, you will end up following IT or an other industry’s processes (just like Scrum) which are very good but not optimal for Marketing."
"Provide me a ""doing"" agile example",team believed that religiously following the rules would take us to the next level.,"After setting up our Scrum, efood Marketing team solely focused on how to follow the process and how efood Marketing team could solve our problems based on Agile theory. efood Marketing team had long conversations with our Agile coach on how to write better user tasks, how to shape our internal structure, and how events should be organized. efood Marketing team believed that religiously following the rules would take us to the next level."
What is a mistake that team did in the early days?,focus on the process is one of the biggest mistakes team ever made.,Our focus on the process is one of the biggest mistakes efood Marketing team have ever made.
"Provide me a ""doing"" agile example","We change our working process to comply with Scrum rules, and that’s it, efood Marketing team become Agile","“Doing Agile” is the approach that many organizations follow: ”We change our working process to comply with Scrum rules, and that’s it, efood Marketing team become Agile.” However, it’s not that simple. The Scrum guide is 16 pages long, anyone can read it and follow its rules, but that doesn’t make you and your team Agile. Across the globe, thousands of companies use Agile methodologies. So, when it comes to best practices, our primary references are Spotify and Toyota (for lean methods). If almost everyone is using Agile methodologies and Scrum is simple to understand, then why is it difficult to master it?"
Why being Agile is different thatn doing Agile?,Being Agile includes several business elements rather than your working process,"We believe that “doing Agile” is different from “being Agile.” Being Agile includes several business elements rather than your working process. You don’t just have to follow the rules of Scrum. You need to change the way you think and the way you work. Through those years, efood Marketing team understood that the “art” of the process is to realize where you need process and where you don’t, so you can keep only the processes that matter and remove the unnecessary ones. Removing processes is more difficult than creating new ones."
Why being Agile is different thatn doing Agile?,You don’t just have to follow the rules of Scrum,"We believe that “doing Agile” is different from “being Agile.” Being Agile includes several business elements rather than your working process. You don’t just have to follow the rules of Scrum. You need to change the way you think and the way you work. Through those years, efood Marketing team understood that the “art” of the process is to realize where you need process and where you don’t, so you can keep only the processes that matter and remove the unnecessary ones. Removing processes is more difficult than creating new ones."
Why doing Agile is wrong?,We focused on the wrong thing to improve,"We had lengthy discussions on how efood Marketing team should implement velocity estimations (rather than time estimations), while still having a top to bottom management structure. efood Marketing team cared a lot about keeping the events time-boxed, but efood Marketing team didn’t motivate our team to iterate more. efood Marketing team argued about having one-week or two-week sprints, while efood Marketing team were consumed by the urgency of our projects rather than their value. efood Marketing team preached about multiple iterations, while sometimes our project roadmap was so tight and strict that iterations would take months to implement. Konstantinos once read a great comment in an Agile forum that said: It is just frustrating to see managers “trying to do Agile” that treat their people like “computers” and expect that “Agile OS” will be installed just a couple of days after the workshop."
Provide me a bad example of doing agile,having a top to bottom management structure,"We had lengthy discussions on how efood Marketing team should implement velocity estimations (rather than time estimations), while still having a top to bottom management structure. efood Marketing team cared a lot about keeping the events time-boxed, but efood Marketing team didn’t motivate our team to iterate more. efood Marketing team argued about having one-week or two-week sprints, while efood Marketing team were consumed by the urgency of our projects rather than their value. efood Marketing team preached about multiple iterations, while sometimes our project roadmap was so tight and strict that iterations would take months to implement. Konstantinos once read a great comment in an Agile forum that said: It is just frustrating to see managers “trying to do Agile” that treat their people like “computers” and expect that “Agile OS” will be installed just a couple of days after the workshop."
Provide me a bad example of doing agile,didn’t motivate our team to iterate more,"We had lengthy discussions on how efood Marketing team should implement velocity estimations (rather than time estimations), while still having a top to bottom management structure. efood Marketing team cared a lot about keeping the events time-boxed, but efood Marketing team didn’t motivate our team to iterate more. efood Marketing team argued about having one-week or two-week sprints, while efood Marketing team were consumed by the urgency of our projects rather than their value. efood Marketing team preached about multiple iterations, while sometimes our project roadmap was so tight and strict that iterations would take months to implement. Konstantinos once read a great comment in an Agile forum that said: It is just frustrating to see managers “trying to do Agile” that treat their people like “computers” and expect that “Agile OS” will be installed just a couple of days after the workshop."
Give me a comparable example of process,Having the best football shoes does not make you a great football player,"Your working process is like a tool. Having the best football shoes does not make you a great football player. Other critical elements define your success, such as the team you’re playing in, the quality of your practice, even your opponents. efood Marketing team believe the same happens with Agile. The working process is not enough. Other critical aspects define your team’s agility and should be embraced as well. To be honest, most of them were already in place, but documenting and highlighting them helped us to instil them into our hiring process in order to make sure that future colleagues would share the same mindset and values with us. In the next pages, efood Marketing team will briefly describe those elements; if you are interested only in our methodology, you can skip the next chapter and read “Agile Marketing: Nero.”"
"Why is it difficult to ""being Agile""","You can obtain technical SEO skills, but there is no course to teach you how to care.","After numerous discussions with other marketers and industry professionals, efood Marketing team realized that in most cases, these aspects are way more difficult to be changed. They are difficult to change because changes affect the whole business, not just marketing departments. Also, some of them do not have a linear path. You can obtain technical SEO skills by doing an online marketing course, but there is no path to teach you how to care about your company. Of course, this does not apply to every business or marketing department, but Konstantinos recommend you check our learnings and take them into consideration before you proceed with your Agile transformation."
Give me a tip for food of thought,team can’t fixate on a new process and believe that it will work from day one.,"Humans have existed for over 200,000 years. The civilization, as efood Marketing team know it, is only about 6,000 years old, and industrialization started only in the 18th century. Everything happened evolutionarily, and that is something that efood Marketing team should have in mind before efood Marketing team implement a new working process. efood Marketing team can’t fixate on a new process and believe that it will work from day one."
What is a differentiator of teams?,Our only differentiator from businesses within the industry is our people and our culture,"Our only differentiator from businesses within the same industry is our people and our culture. Let me elaborate on this. efood Marketing team are an online food delivery platform that allows users to order food from their favorite restaurants digitally. Our competition has more or less the same restaurants, they use the same advertising platforms, and efood Marketing team share a lot of common product features. Besides technical and communicational skills that every regular professional in the marketing industry should have, our team members share a common trait. Junior professionals, marketing gurus, copywriters, performance marketers, they all have that trait. They care about the company. It may sound vague or common or even stupid to someone, but for us, it’s a big deal."
Should an employee care about the company?,Yes definitely,You need to care to change the already established way of working.
Why you should care about the company?,to change the already established way of working.,You need to care to change the already established way of working.
Why you should care about the company?,to invest time and effort into something that is not part of your job description,"You need to care to invest time and effort into something that is not part of your job description; as in this case, the whole team is responsible for the implementation of Agile, not just the Scrum master."
Why you should care about the company?,to become a valuable team member rather than a cog in a machine.,You need to care to become a valuable team member rather than a cog in a machine.
Why you should care about the company?,evolve your skills; you will just do what you are asked for.,"If you don’t care enough, you won’t evolve your skills; you will just do what you are asked for."
Why you should care about the company?,To do one more job interview that may lead you to hire an exceptional employee.,"If you don’t care, you won’t do that one more job interview that may lead you to hire an exceptional employee."
Why you should care about the company?,To check that one user review that is negative and may lead you to make changes that you don’t want to.,"If you don’t care, you won’t check that one user review that is negative and may lead you to make changes that you don’t want to."
Why you should care about the company?,to sit back and spend time on efficient planning rather than completing task lists.,You need to care to sit back and spend time on efficient planning rather than completing task lists.
Why you should care about the company?,to provide honest feedback to your teammates,"You need to care to provide honest feedback to your teammates that may lead to short-term unhappiness, but in the long-term, it will pay off."
Why you should care about the company?,to stand against a project,"You need to care to stand against a project that, although it will generate revenue, it will have a negative impact on user experience."
Why you should care about the company?,to stay longer in the office,"You need to care to stay longer in the office to do something that no one has asked for, but you believe it is the right thing to do."
Why you should care about the company?,to understand how the whole business is operating and not just promote Marketing actions.,You need to care to understand how the whole business is operating and not just promote Marketing actions.
What happens if you don't care?,it is very difficult to have empathy.,"If you don’t care, it is very difficult to have empathy."
What happens if you don't care?,it is very difficult to work autonomously and create your own tasks.,"If you don’t care, it is very difficult to work autonomously and create your own tasks."
What happens if you don't care?,you won’t be able to create big projects on your own,"If you don’t care, you won’t be able to create big projects on your own, because big projects require extensive analysis, collaboration with many people, good business understanding and willingness to fight for your project against other projects. Plus, they might fail, and you need to live with it and move to the next project."
What happens if you don't care?,you won’t go the extra mile,"If you don’t care, you won’t go the extra mile, and you will just “serve” a stakeholders’ request rather than “own” it."
What is your opinion about autonomy?,team believe that everyone likes autonomy,"efood Marketing team believe that everyone likes autonomy. efood Marketing team approach autonomy both as a team and as individuals. Ideally, all existing projects should be 100% attainable by our own resources. Working on something end-to-end enhances the feeling of accountability across team members since they are solely responsible for both the implementation quality and business outcome. That’s why efood Marketing team did not form our teams strictly by specialty but in a blended way so that every team can operate autonomously. The Growth team has a copywriter that focuses on ad copy, while the Retention team has performance marketers that optimize engagement metrics."
Give me a good example of autonomy,performance marketers are responsible for making the analysis and evaluation of the marketing channels,"Although efood Marketing team have a great Business Intelligence team within our company, performance marketers are responsible for making the analysis and evaluation of the marketing channels. Let’s take Facebook reporting, for example. A business analyst would be interested in creating an overview report for impressions, clicks, conversions, CPC, CPM and CPV accompanied by channel’s ROI (return on investment) but we, as performance marketers, love to make deep dives in channel’s data trying to find optimization opportunities within devices and placements performance, identify correlations between an image ad and a video ad or understand how relevance score can affect the CPC and ROI. All the above need time and expertise (that a business analyst may not have) and need to be done multiple times within a month because campaign optimization is an iterative process. Through this process, efood Marketing team were able to identify the pattern of “ad fatigue” within our campaigns and solve it before it creates a big performance problem."
Give me a good example of autonomy,"people need to create the specifications of the project, not just follow the rules that someone else created.","Also, having experts to execute tasks that someone else proposed, created specs for, and defined success metrics is quite an oxymoron. Individual autonomy promotes a culture of improvisation because people need to create the specifications of the project, not just follow the rules that someone else created."
Encourage Autonomy,"Some time ago, efood Marketing","Some time ago, efood Marketing team had a project about performance benchmarking of a specific marketing channel, which means that efood Marketing team needed to find a way to validate the data that the channel provided us with. When it comes to data validation methods, there are a couple of techniques such as A/A tests or test traffic data, etc. efood Marketing team came up with an unconventional but unique idea, “The Blank Test.”, according to which, efood Marketing team created a campaign with “empty” banners (plain white images) and compared it with a campaign of branded banners to understand how branded banners affect a specific metric. The results were surprising because the performance of the “blank banner” campaign was better than the performance of the branded campaign, which led us to stop our advertising efforts and remove the platform from our performance marketing mix."
Give me a quote,It does not make sense to hire chess players and then treat them like chess pieces,"It does not make sense to hire chess players and then treat them like chess pieces. Autonomy is an Agile principle as well, and efood Marketing team are trying to adopt it in the following areas:"
What is the blank test,team created a campaign with “empty” banners (plain white images) and compared it with a campaign of branded banners,"Some time ago, efood Marketing team had a project about performance benchmarking of a specific marketing channel, which means that efood Marketing team needed to find a way to validate the data that the channel provided us with. When it comes to data validation methods, there are a couple of techniques such as A/A tests or test traffic data, etc. efood Marketing team came up with an unconventional but unique idea, “The Blank Test.”, according to which, efood Marketing team created a campaign with “empty” banners (plain white images) and compared it with a campaign of branded banners to understand how branded banners affect a specific metric. The results were surprising because the performance of the “blank banner” campaign was better than the performance of the branded campaign, which led us to stop our advertising efforts and remove the platform from our performance marketing mix."
Give me a good example of ownership,90% of our marketing activities are executed in-house,"More than 90% of our marketing activities are executed in-house. External dependencies is a major problem of many teams because the more dependencies you have, the less efficient your planning is, you can't do iterations fast enough, and you need more meetings simply because professionals that are not in the company need more time to understand what you want to achieve and how to execute a project successfully."
Give me a good example of ownership,In 2019 our most successful campaign was the “1+1 deals,"In 2019 our most successful campaign was the “1+1 deals”. This campaign was a national campaign in which restaurants participated with attractive offers across all cities and all cuisines. This was a very complex campaign that needed the incorporation of multiple departments (finance, sales, marketing, business intelligence, product, tech, etc.) to be successful. Hadn’t most of the marketing activities been in-house this campaign would not have been feasible within a reasonable time period, and the opportunity would have been wasted."
Why autonomy is difficult?,Autonomy is not the norm in a big company,"Let me be clear with that. Not only did efood Marketing team have C-level approval to be an autonomous team, but efood Marketing team had also earned it. Autonomy is not the norm in a big company and you have to be as responsible and efficient as possible in your job in order to maintain it."
Give me a good example of ownership,team trying to achieve a similar state to “one-piece flow”,"Being heavily influenced by the book Toyota Way efood Marketing team decided to bring all Marketing activities in-house (except for one) trying to achieve a similar state to “one-piece flow” that Toyota has. Imagine that you want to create a digital campaign, and you have a design agency (for banners), a performance agency (for campaign setup and optimization), a creative agency (for copy and videos), and an  in-house marketing manager who has to coordinate with everyone. Now add about five iterations that the campaign will need to deliver optimized results, and you will have a perfect case study of a disaster. Now imagine you have an in-house team that consists of a designer, a copywriter, a performance marketer, and a manager. Try to calculate the estimated delivery time of the examples above, and you will see a significant difference between time cost.
FYI: The only activity efood Marketing team outsource is TV commercials due to the low TV commercial production cadence efood Marketing team have (we produce two commercials per year, so there is no reason to have an in-house team)."
Give me a good example of ownership,"There is no penalty if you reach the office half an hour late, and there is no penalty if you leave half an hour earlier than the official schedule."," If you think that your team is fully productive, 40 hours/week, 52 weeks/year, you are wrong, even if your time tracking tools insist on that!
We, as individuals, decide how much time efood Marketing team will allocate to projects during our sprint. Since the team does the actual work, they know how much time they need to accomplish it. There is no penalty if you reach the office half an hour late, and there is no penalty if you leave half an hour earlier than the official schedule. By the end of each sprint, efood Marketing team do not measure “productive” hours. efood Marketing team measure marketing performance and deliverable volume and quality. After all, as professionals, efood Marketing team are evaluated by the work and the value efood Marketing team deliver, not by the hours efood Marketing team work. Nero master helps everyone do the best planning for the sprint, minimizing “waste” between productive and working hours."
Give me a good example of ownership,not strict hierarchy," efood Marketing team will not say that efood Marketing team don’t have a hierarchy. efood Marketing team do, but it is not strict. All team managers follow a servant-leader approach, and they mostly help teams stay aligned with our core strategy and other teams’ requests. Most of our teams’ decisions come from team members, along with managers. This approach is called “bottom-up,” and for it to be successful, you need a strong vision and a clear-cut strategy to avoid conflicts and projects that may lead to wrong directions. One thing that helped us a lot is that all managers are hands-on professionals, so they know 100% how the job should be done effectively."
Give me a quote,"Need, Must, Can’t, Only, Just, Fast, ASAP are forbidden words in the office","When efood Marketing team started Nero, efood Marketing team made a deal. DO NOT USE THE FOLLOWING WORDS AGAIN: Need, Must, Can’t, Only, Just, Fast, ASAP, It will only take 1 minute"
What is a healthy business enviroment?,A healthy business environment is the best place to work at,"A healthy business environment is the best place to work at. By “healthy” efood Marketing team mean a couple of working conditions that are user-friendly and encourage people to work better and be more productive. Also, efood Marketing team need to make sure that “healthy” does not mean “complacent,” which is equally worse to “toxic.” An interesting approach that helped us create that kind of environment is to avoid toxic situations at all costs. There are a lot of reasons why efood Marketing team become toxic; efood Marketing team identified them and worked on eliminating them."
What is a healthy business enviroment?,a couple of working conditions that are user-friendly and encourage people to work better and be more productive,"A healthy business environment is the best place to work at. By “healthy” efood Marketing team mean a couple of working conditions that are user-friendly and encourage people to work better and be more productive. Also, efood Marketing team need to make sure that “healthy” does not mean “complacent,” which is equally worse to “toxic.” An interesting approach that helped us create that kind of environment is to avoid toxic situations at all costs. There are a lot of reasons why efood Marketing team become toxic; efood Marketing team identified them and worked on eliminating them."
What is a healthy business enviroment?,create that kind of environment is to avoid toxic situations at all costs,"A healthy business environment is the best place to work at. By “healthy” efood Marketing team mean a couple of working conditions that are user-friendly and encourage people to work better and be more productive. Also, efood Marketing team need to make sure that “healthy” does not mean “complacent,” which is equally worse to “toxic.” An interesting approach that helped us create that kind of environment is to avoid toxic situations at all costs. There are a lot of reasons why efood Marketing team become toxic; efood Marketing team identified them and worked on eliminating them."
Give me a tip for a healthy working enviroment,Being rude is toxic.,"Being rude is toxic. When someone expressed his or her opinion, there were times that this opinion was completely off-topic, and some members (including me) reacted badly. Given that efood Marketing team had known each other for years, this reaction was sometimes insulting. The reason that Konstantinos reacted like this is that after all the discussions that efood Marketing team had had for a specific concept, it made no sense for someone to have that specific kind of opinion. In one of our retrospective meetings, efood Marketing team discussed it, and Konstantinos realized that there are times when people do not fully understand the whole concept, but they are reluctant to ask for further explanation due to limited time and prior negative reactions. efood Marketing team solved that by making sure that everyone fully understands the concepts that efood Marketing team discuss and efood Marketing team also embraced a “no judging” policy by which no member is allowed to be rude both at the first time or the next time it happens. Konstantinos would like to add here that “no judging policy” does not mean that efood Marketing team accept all projects; it means that efood Marketing team provide honest feedback without insulting anyone."
